Player Name,Player ID,Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
trevor stephan,663986,Apr 28,CLE,@ BOS,0,0,1.46,1,0,0,0,0,0,1.0,2,0,0,0,0,0,0,1,14-10,.239,1.22,0.69
trevor stephan,663986,May 3,CLE,@ NYY,0,1,1.42,1,0,0,0,0,0,0.1,1,1,0,0,0,1,0,0,10-6,.255,1.34,0.77
trevor stephan,663986,May 6,CLE,vs MIN,1,0,1.93,1,0,0,0,0,1,1.1,1,1,1,1,0,0,0,2,17-13,.250,1.29,0.79
trevor stephan,663986,May 9,CLE,vs DET,0,0,1.84,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6-5,.241,1.23,0.80
trevor stephan,663986,May 12,CLE,vs LAA,0,0,1.72,1,0,0,0,0,0,1.0,2,0,0,0,0,0,0,1,15-10,.259,1.28,0.75
trevor stephan,663986,May 13,CLE,vs LAA,0,0,1.62,1,0,0,0,1,1,1.0,1,0,0,0,0,1,0,1,26-14,.258,1.32,0.88
trevor stephan,663986,May 18,CLE,@ CWS,0,0,1.53,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,7-5,.246,1.25,0.88
trevor stephan,663986,May 19,CLE,@ NYM,0,0,1.45,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,9-7,.235,1.18,0.83
trevor stephan,663986,May 21,CLE,@ NYM,0,1,2.29,1,0,0,0,0,1,1.0,2,2,2,1,0,1,0,2,23-14,.247,1.27,0.89
trevor stephan,663986,May 22,CLE,vs CWS,0,0,2.18,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,10-8,.237,1.21,0.94
trevor stephan,663986,May 26,CLE,vs STL,0,0,2.11,1,0,0,0,0,0,0.2,1,0,0,0,0,2,0,0,24-10,.241,1.31,0.85
trevor stephan,663986,May 29,CLE,@ BAL,0,0,2.01,1,0,0,0,0,0,1.0,2,0,0,0,0,0,0,1,16-12,.250,1.34,0.86
trevor stephan,663986,May 31,CLE,@ BAL,0,0,1.93,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,20-12,.250,1.33,0.78
trevor stephan,663986,Jun 1,CLE,@ MIN,0,0,2.96,1,0,0,0,0,1,1.0,3,3,3,1,0,0,0,1,17-13,.266,1.40,0.79
trevor stephan,663986,Jun 4,CLE,@ MIN,0,0,2.84,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,8-7,.258,1.34,0.76
trevor stephan,663986,Jun 7,CLE,vs BOS,0,0,2.73,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,13-8,.257,1.33,0.81
trevor stephan,663986,Jun 9,CLE,vs HOU,0,0,2.63,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,9-6,.252,1.28,0.79
trevor stephan,663986,Jun 11,CLE,vs HOU,0,0,2.54,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,21-16,.252,1.27,0.82
trevor stephan,663986,Jun 15,CLE,@ SD,1,0,2.40,1,0,0,0,0,0,1.2,0,0,0,0,0,1,0,1,25-15,.241,1.23,0.83
trevor stephan,663986,Jun 20,CLE,vs OAK,0,0,2.37,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,5-2,.239,1.22,0.81
trevor stephan,663986,Jun 21,CLE,vs OAK,0,0,2.32,1,0,0,0,0,0,0.2,2,0,0,0,0,0,0,1,13-8,.248,1.26,0.78
trevor stephan,663986,Jun 24,CLE,vs MIL,0,0,2.25,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,14-10,.242,1.22,0.76
trevor stephan,663986,Jun 25,CLE,vs MIL,0,1,2.18,1,0,0,0,0,0,1.0,1,1,0,0,0,1,0,2,17-10,.242,1.24,0.74
trevor stephan,663986,Jun 27,CLE,@ KC,1,0,2.12,1,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1,15-10,.242,1.24,0.79
trevor stephan,663986,Jun 29,CLE,@ KC,0,0,2.57,1,0,0,0,0,1,1.0,2,2,2,0,1,1,0,0,26-14,.250,1.29,0.73
trevor stephan,663986,Jul 2,CLE,@ CHC,0,0,2.75,1,0,0,0,0,0,1.0,2,1,1,1,0,1,0,0,27-14,.255,1.33,0.72
trevor stephan,663986,Jul 4,CLE,vs ATL,0,0,2.68,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,10-6,.257,1.32,0.73
trevor stephan,663986,Jul 6,CLE,vs KC,0,0,2.61,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,10-8,.252,1.29,0.78
trevor stephan,663986,Jul 7,CLE,vs KC,0,0,2.54,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,12-8,.247,1.26,0.83
trevor stephan,663986,Jul 16,CLE,@ TEX,0,1,3.43,1,0,0,0,0,1,0.1,3,4,4,0,0,2,0,0,23-11,.260,1.37,0.80
trevor stephan,663986,Jul 18,CLE,@ PIT,0,0,3.35,1,0,0,0,0,0,1.0,2,0,0,0,0,0,0,1,18-10,.265,1.39,0.81
trevor stephan,663986,Jul 21,CLE,vs PHI,1,0,3.21,1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,2,20-13,.256,1.33,0.80
trevor stephan,663986,Jul 23,CLE,vs PHI,0,0,3.35,1,0,0,0,0,0,1.0,1,1,1,0,0,1,1,1,20-10,.258,1.35,0.80
trevor stephan,663986,Jul 27,CLE,@ CWS,0,0,3.25,1,0,0,0,0,0,1.1,0,0,0,0,1,0,0,1,16-10,.251,1.31,0.79
trevor stephan,663986,Jul 30,CLE,@ CWS,0,0,3.18,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,8-5,.247,1.28,0.74
trevor stephan,663986,Aug 2,CLE,@ HOU,0,0,3.11,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,2,10-7,.243,1.25,0.73
trevor stephan,663986,Aug 4,CLE,vs CWS,0,0,3.04,1,0,0,0,0,0,1.0,2,0,0,0,0,0,0,1,9-7,.249,1.27,0.75
trevor stephan,663986,Aug 6,CLE,vs CWS,0,0,2.98,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,10-7,.244,1.24,0.75
trevor stephan,663986,Aug 8,CLE,vs TOR,0,0,2.92,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,16-11,.245,1.24,0.72
trevor stephan,663986,Aug 10,CLE,vs TOR,0,0,2.86,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,30-20,.245,1.23,0.71
trevor stephan,663986,Aug 12,CLE,@ TB,0,0,2.98,1,0,0,0,0,0,1.0,1,1,1,0,1,0,0,3,22-14,.245,1.23,0.71
trevor stephan,663986,Aug 15,CLE,@ CIN,0,0,2.92,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,12-9,.241,1.20,0.73
trevor stephan,663986,Aug 19,CLE,vs DET,0,0,2.87,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,2,18-11,.241,1.20,0.75
trevor stephan,663986,Aug 22,CLE,vs LAD,0,0,2.82,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,16-8,.241,1.20,0.75
