Player Name,Player ID,Season,Team,LG,W,L,ERA,G,GS,CG,SHO,HLD,SV,SVO,IP,H,R,ER,HR,NP,HB,BB,IBB,SO,AVG,WHIP,GO/AO
Michael Soroka,647336,MLB Career,-,-,17,8,3.32,44,43,0,0,0,0,0,246.1,230,100,91,24,3698,12,67,1,200,.248,1.21,1.54
Jared Shuster,694363,MLB Career,-,-,4,3,5.81,11,11,0,0,0,0,0,52.2,53,34,34,7,864,1,26,0,30,.264,1.50,0.69
Jesse Scholtens,669947,MLB Career,-,-,1,9,5.29,26,11,0,0,1,1,1,85.0,100,54,50,15,1447,2,30,1,58,.292,1.53,0.70
Gregory Santos,666619,MLB Career,-,-,2,4,4.00,65,0,0,0,7,5,9,72.0,77,37,32,5,1167,5,22,1,71,.264,1.38,1.53
Lane Ramsey,682010,MLB Career,-,-,1,0,5.85,21,0,0,0,3,0,0,20.0,25,13,13,1,340,0,9,0,18,.313,1.70,0.60
Yohan Ramirez,670990,MLB Career,-,-,6,4,3.99,102,0,0,0,7,6,8,124.0,98,60,55,16,2190,24,69,3,128,.217,1.35,0.97
Sammy Peralta,671111,MLB Career,-,-,2,0,4.05,16,0,0,0,0,0,0,20.0,19,11,9,2,379,0,11,0,18,.241,1.50,0.75
Luis Patino,672715,MLB Career,-,-,7,6,5.02,45,23,0,0,1,0,0,136.1,134,80,76,24,2485,5,70,3,124,.250,1.50,0.58
Nicholas Padilla,656820,MLB Career,-,-,0,1,5.68,4,0,0,0,0,0,0,6.1,11,4,4,1,139,0,3,0,7,.379,2.21,0.38
Edgar Navarro,679346,MLB Career,-,-,0,0,7.27,8,0,0,0,0,0,0,8.2,11,7,7,2,150,2,2,0,9,.314,1.50,2.00
Davis Martin,663436,MLB Career,-,-,3,6,4.83,14,9,0,0,0,0,1,63.1,63,36,34,8,1044,3,19,1,48,.259,1.29,0.75
Jimmy Lambert,669424,MLB Career,-,-,4,6,4.33,83,6,0,0,13,1,2,99.2,99,53,48,17,1774,4,50,3,98,.257,1.49,0.56
Michael Kopech,656629,MLB Career,-,-,15,25,4.33,103,60,0,0,15,0,1,332.1,274,168,160,57,5851,20,174,1,357,.223,1.35,0.64
Deivi Garcia,665620,MLB Career,-,-,3,5,4.53,16,8,0,0,0,1,1,57.2,52,36,29,9,974,3,22,0,50,.234,1.28,0.63
Matt Foster,641582,MLB Career,-,-,9,4,4.39,108,2,0,0,9,2,4,112.2,102,60,55,17,1933,2,39,1,113,.237,1.25,0.57
Declan Cronin,686539,MLB Career,-,-,0,1,9.00,9,0,0,0,1,0,0,11.0,11,12,11,3,193,2,7,0,8,.262,1.64,2.83
Garrett Crochet,676979,MLB Career,-,-,3,7,2.71,72,0,0,0,15,0,2,73.0,57,28,22,3,1292,3,40,2,85,.215,1.33,0.71
Dylan Cease,656302,MLB Career,-,-,43,35,3.83,123,123,2,2,0,0,0,658.0,565,311,280,82,11788,28,294,7,792,.228,1.31,0.76
Tanner Banks,621383,MLB Career,-,-,3,4,3.79,67,3,0,0,2,1,2,114.0,101,57,48,15,1904,5,34,1,100,.235,1.18,0.90
Keaton Winn,676775,MLB Career,-,-,1,3,4.68,9,5,0,0,0,1,1,42.1,36,22,22,6,594,5,8,0,35,.231,1.04,1.64
Logan Webb,657277,MLB Career,-,-,42,32,3.40,113,110,2,1,1,0,0,650.2,608,275,246,49,10076,28,154,1,598,.248,1.17,2.23
Ryan Walker,676254,MLB Career,-,-,5,3,3.23,49,13,0,0,3,1,2,61.1,61,25,22,8,1079,2,24,0,78,.262,1.39,1.18
Ross Stripling,548389,MLB Career,-,-,38,43,3.96,226,115,0,0,11,4,7,761.0,748,354,335,117,12200,11,175,9,692,.253,1.21,1.13
Taylor Rogers,573124,MLB Career,-,-,27,30,3.47,445,0,0,0,93,83,111,430.2,382,186,166,43,6848,31,120,20,509,.237,1.17,1.09
Tyler Rogers,643511,MLB Career,-,-,19,13,2.96,262,0,0,0,90,18,37,276.1,256,103,91,17,4133,18,64,2,207,.244,1.16,1.56
Luke Jackson,592426,MLB Career,-,-,18,8,4.10,286,0,0,0,49,19,33,305.1,309,151,139,33,5197,13,133,15,327,.261,1.45,1.39
Sean Hjelle,663546,MLB Career,-,-,3,3,6.17,23,0,0,0,1,0,1,54.0,71,44,37,6,990,5,21,1,59,.314,1.70,1.97
Kyle Harrison,690986,MLB Career,-,-,1,1,4.15,7,7,0,0,0,0,0,34.2,29,19,16,8,588,4,11,0,35,.221,1.15,0.42
Camilo Doval,666808,MLB Career,-,-,17,13,2.77,166,0,0,0,7,69,83,162.1,124,69,50,11,2711,12,65,10,204,.210,1.16,1.49
Anthony Desclafani,543101,MLB Career,-,-,54,56,4.20,180,169,3,3,0,0,0,942.2,944,480,440,135,14928,27,251,15,830,.261,1.27,0.99
Alex Cobb,502171,MLB Career,-,-,77,75,3.85,230,230,6,2,0,0,0,1311.1,1293,613,561,139,21053,47,380,15,1098,.256,1.28,1.69
Tristan Beck,663941,MLB Career,-,-,3,3,3.92,33,3,0,0,4,2,3,85.0,83,40,37,10,1298,2,21,2,68,.252,1.22,0.86
Owen White,669391,MLB Career,-,-,0,1,11.25,2,0,0,0,0,0,0,4.0,5,5,5,2,68,0,2,0,4,.313,1.75,1.67
Max Scherzer,453286,MLB Career,-,-,214,108,3.15,457,448,12,5,0,0,0,2834.2,2306,1063,991,328,45909,111,746,20,3367,.220,1.08,0.72
Josh Sborz,622250,MLB Career,-,-,11,11,5.08,137,1,0,0,24,1,9,147.0,132,87,83,22,2562,1,65,2,176,.237,1.34,0.86
Yerry Rodriguez,666720,MLB Career,-,-,0,1,7.36,14,1,0,0,1,0,1,14.2,21,12,12,1,296,0,6,1,16,.333,1.84,0.59
