Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Matt Mclain,680574,MLB Career,-,-,89,365,65,106,185,23,4,16,50,31,0,115,14,5,.290,.357,.507,.864,0.85
Noelvi Marte,682622,MLB Career,-,-,35,114,15,36,52,7,0,3,15,8,0,25,6,2,.316,.366,.456,.822,1.30
Jonathan India,663697,MLB Career,-,-,372,1372,224,350,575,73,4,48,171,154,2,344,29,9,.255,.350,.419,.769,0.90
Christian Encarnacion Strand,687952,MLB Career,-,-,63,222,29,60,106,7,0,13,37,14,0,69,2,0,.270,.328,.477,.805,0.75
Elly De La Cruz,682829,MLB Career,-,-,98,388,67,91,159,15,7,13,44,35,3,144,35,8,.235,.300,.410,.710,1.87
Jose Barrero,676480,MLB Career,-,-,139,415,36,77,106,15,1,4,32,28,0,163,9,4,.186,.242,.255,.497,0.68
Tyler Stephenson,663886,MLB Career,-,-,332,998,143,271,418,50,2,31,142,102,3,266,1,1,.272,.345,.419,.764,1.30
Luke Maile,571912,MLB Career,-,-,385,995,95,211,326,54,2,19,105,76,1,289,6,1,.212,.275,.328,.603,1.01
Myles Straw,664702,MLB Career,-,-,555,1760,249,430,543,77,9,6,125,187,0,351,87,16,.244,.316,.309,.625,0.88
Ramon Laureano,657656,MLB Career,-,-,512,1821,271,447,782,106,8,71,219,152,0,547,57,16,.245,.320,.429,.749,0.92
Steven Kwan,680757,MLB Career,-,-,305,1201,182,339,461,61,14,11,106,132,4,135,40,8,.282,.356,.384,.740,0.88
Oscar Gonzalez,660757,MLB Career,-,-,145,535,54,144,221,34,2,13,55,20,2,121,1,2,.269,.299,.413,.712,1.28
Will Brennan,686823,MLB Career,-,-,149,474,47,130,175,25,1,6,49,18,3,61,15,6,.274,.308,.369,.677,1.07
Gabriel Arias,672356,MLB Career,-,-,138,362,45,75,126,16,1,11,31,36,0,129,4,4,.207,.282,.348,.630,1.76
Jose Tena,677588,MLB Career,-,-,18,31,2,7,9,2,0,0,3,3,0,13,0,0,.226,.294,.290,.584,0.83
Brayan Rocchio,677587,MLB Career,-,-,23,81,9,20,26,6,0,0,8,4,0,27,0,0,.247,.279,.321,.600,2.50
Alfonso Rivas,663845,MLB Career,-,-,167,404,42,98,141,16,3,7,43,42,1,139,7,1,.243,.324,.349,.673,1.10
Jose Ramirez,608070,MLB Career,-,-,1293,4757,784,1327,2376,325,38,216,746,546,76,646,202,48,.279,.355,.499,.854,0.70
Josh Naylor,647304,MLB Career,-,-,446,1484,169,400,651,90,1,53,235,115,15,269,19,5,.270,.325,.439,.764,1.26
Andres Gimenez,665926,MLB Career,-,-,416,1354,187,358,564,66,10,40,159,84,7,306,69,10,.264,.332,.417,.749,1.06
Tyler Freeman,671289,MLB Career,-,-,88,230,29,56,78,10,0,4,21,14,0,41,6,0,.243,.302,.339,.641,1.25
Bo Naylor,666310,MLB Career,-,-,72,206,33,47,93,13,0,11,32,30,1,58,5,0,.228,.328,.451,.779,0.52
