Player Name,Player ID,Season,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS,GO/AO
Cavan Biggio,624415,2023,TOR,AL,111,289,54,68,107,12,0,9,40,40,0,88,5,2,.235,.340,.370,.710,0.73
Ernie Clement,676391,2021,CLE,AL,40,121,16,28,41,4,0,3,9,7,0,19,0,1,.231,.285,.339,.624,0.88
Ernie Clement,676391,2022,2 teams,-,70,163,19,30,34,4,0,0,6,11,0,26,0,1,.184,.243,.209,.452,0.93
Ernie Clement,676391,2022,CLE,AL,64,145,18,29,32,3,0,0,6,11,0,24,0,1,.200,.264,.221,.485,0.98
Ernie Clement,676391,2022,OAK,AL,6,18,1,1,2,1,0,0,0,0,0,2,0,0,.056,.056,.111,.167,0.67
Ernie Clement,676391,2023,TOR,AL,30,50,7,19,25,1,1,1,10,1,0,4,1,0,.380,.385,.500,.885,0.56
Santiago Espinal,669289,2020,TOR,AL,27,60,10,16,20,4,0,0,6,4,0,16,1,0,.267,.308,.333,.641,0.67
Santiago Espinal,669289,2021,TOR,AL,92,222,32,69,90,13,1,2,17,22,0,30,6,1,.311,.376,.405,.781,0.85
Santiago Espinal,669289,2022,TOR,AL,135,449,51,120,166,25,0,7,51,36,1,68,6,6,.267,.322,.370,.692,0.93
Santiago Espinal,669289,2023,TOR,AL,93,230,30,57,77,14,0,2,25,18,1,36,2,1,.248,.310,.335,.645,1.00
Vladimir Guerrero,jr,2019,TOR,AL,123,464,52,126,201,26,2,15,69,46,0,91,0,1,.272,.339,.433,.772,1.24
Vladimir Guerrero,jr,2020,TOR,AL,60,221,34,58,102,13,2,9,33,20,1,38,1,0,.262,.329,.462,.791,1.50
Vladimir Guerrero,jr,2021,TOR,AL,161,604,123,188,363,29,1,48,111,86,7,110,4,1,.311,.401,.601,1.002,1.10
Vladimir Guerrero,jr,2022,TOR,AL,160,638,90,175,306,35,0,32,97,58,6,116,8,3,.274,.339,.480,.819,1.45
Vladimir Guerrero,jr,2023,TOR,AL,156,602,78,159,267,30,0,26,94,67,5,100,5,3,.264,.345,.444,.789,1.05
Spencer Horwitz,687462,2023,TOR,AL,15,39,5,10,15,2,0,1,7,4,0,12,0,0,.256,.341,.385,.726,2.40
Otto Lopez,672640,2021,TOR,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-.--
Otto Lopez,672640,2022,TOR,AL,8,9,0,6,6,0,0,0,3,1,0,1,0,1,.667,.700,.667,1.367,0.00
Davis Schneider,676914,2023,TOR,AL,35,116,23,32,70,12,1,8,20,21,0,43,1,0,.276,.404,.603,1.007,0.41
Nathan Lukes,664770,2023,TOR,AL,29,26,4,5,8,1,1,0,2,4,0,9,0,0,.192,.290,.308,.598,0.44
George Springer,543807,2014,HOU,AL,78,295,45,68,138,8,1,20,51,39,4,114,5,2,.231,.336,.468,.804,1.02
George Springer,543807,2015,HOU,AL,102,388,59,107,178,19,2,16,41,50,0,109,16,4,.276,.367,.459,.826,1.24
George Springer,543807,2016,HOU,AL,162,644,116,168,294,29,5,29,82,88,2,178,9,10,.261,.359,.457,.816,1.43
George Springer,543807,2017,HOU,AL,140,548,112,155,286,29,0,34,85,64,1,111,5,7,.283,.367,.522,.889,1.20
George Springer,543807,2018,HOU,AL,140,544,102,144,236,26,0,22,71,64,0,122,6,4,.265,.346,.434,.780,1.13
George Springer,543807,2019,HOU,AL,122,479,96,140,283,20,3,39,96,67,1,113,6,2,.292,.383,.591,.974,1.15
George Springer,543807,2020,HOU,AL,51,189,37,50,102,6,2,14,32,24,0,38,1,2,.265,.359,.540,.899,0.69
George Springer,543807,2021,TOR,AL,78,299,59,79,166,19,1,22,50,37,1,79,4,1,.264,.352,.555,.907,0.69
George Springer,543807,2022,TOR,AL,133,513,89,137,242,22,4,25,76,54,1,100,14,2,.267,.342,.472,.814,1.05
George Springer,543807,2023,TOR,AL,154,613,87,158,248,25,1,21,72,60,1,125,20,5,.258,.327,.405,.732,0.95
Daulton Varsho,662139,2020,AZ,NL,37,101,16,19,37,5,2,3,9,12,0,33,3,1,.188,.287,.366,.653,0.63
Daulton Varsho,662139,2021,AZ,NL,95,284,41,70,124,17,2,11,38,30,3,67,6,0,.246,.318,.437,.755,0.68
Daulton Varsho,662139,2022,AZ,NL,151,531,79,125,235,23,3,27,74,46,0,145,16,6,.235,.302,.443,.745,0.93
Daulton Varsho,662139,2023,TOR,AL,158,527,65,116,205,23,3,20,61,45,0,135,16,7,.220,.285,.389,.674,0.58
Riley Adams,656180,2021,2 teams,-,47,99,13,22,38,8,1,2,10,15,0,40,0,0,.222,.358,.384,.742,1.06
